# Scene 1 Implementation Plan

<SCENE_VISION_STORYBOARD_AND_TECHNICAL_PLAN>

[图示主题与整合说明]
- 本图示主题：果蝇刚毛性状遗传——四种假说的推演与F₂验证
- 整合的步骤/概念：
  1. 题目已知条件（P、F₁、F₂表现型及目标比例2:1:1）
  2. 假说一：X染色体显性突变（与F₁全直矛盾，排除）
  3. 假说二：X染色体隐性突变（F₂比例2:1:1，吻合）
  4. 假说三：常染色体显性突变（与F₁全直矛盾，排除）
  5. 假说四：常染色体隐性突变（F₂雌性出现卷刚毛且比例不符，排除）
  6. 结论：假说二成立
- 教学价值：教师通过分步导航，带领学生逐一验证四种假说，在对比中理解"假说-演绎法"的遗传题解题逻辑。可随时回退步骤，强化错误排除的推理过程。

[布局坐标表]
画布尺寸：800×500 px，控件栏内嵌于SVG底部y=440~490区域。

| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移方向 | 备注 |
|------|------|-----------|------|-------------|------|
| 顶部条件栏背景 | rect | (10,5)-(790,57) | 780×52 | - | 圆角4px，fill=#f8f9fa |
| 主标题 | text | (400,24) | ~300×18 | 居中 | 15px加粗，题目主题 |
| 副标题（条件） | text | (400,46) | ~500×14 | 居中 | 12px，P→F₁→F₂流程 |
| 右侧判定栏外框 | rect | (588,72)-(780,428) | 192×356 | - | 圆角6px，stroke=#ddd |
| 判定栏标题 | text | (684,95) | ~80×16 | 居中 | "判定对比" |
| 目标比例文本 | text | (684,175) | ~120×40 | 居中 | 多行，2:1:1为蓝色加粗 |
| 本假说结果文本 | text | (684,270) | ~140×40 | 居中 | 动态更新 |
| 判定标记 | text | (684,350) | ~50×50 | 居中 | 42px，✓绿/✗红 |
| 判定原因 | text | (684,390) | ~160×40 | 居中 | 11px，自动换行 |
| 底部控件背景 | rect | (0,440)-(800,490) | 800×50 | - | fill=#fafafa，上边框 |
| 上一步按钮 | rect+text | (140,450) | 85×34 | 居中 | 圆角4px |
| 下一步按钮 | rect+text | (575,450) | 85×34 | 居中 | 圆角4px |
| 步骤指示器圆点 | circle | x=340/365/390/415/440/465, y=460 | r=6 | - | 6个，当前蓝色 |
| 步骤标签 | text | 圆点下方x同, y=475 | ~40×12 | 下方 | 10px |
| 当前步骤描述 | text | (400,485) | ~120×12 | 居中 | 11px灰色 |

[主图解区各步骤元素坐标]
步骤0（题目条件）：
| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移 | 备注 |
| 标题"题目条件" | text | (300,82) | ~120×18 | 居中 | 16px加粗 |
| P标签 | text | (55,140) | ~20×14 | - | 14px加粗 |
| 雌亲本框 | rect | (115,120)-(225,162) | 110×42 | - | fill=#e3f2fd, stroke=#1565c0 |
| 雌亲本文字 | text | (170,143) | ~70×14 | 框内居中 | "直刚毛 ♀" |
| 杂交符号 | text | (300,143) | ~16×16 | - | "×" |
| 雄亲本框 | rect | (375,120)-(485,162) | 110×42 | - | fill=#ffebee, stroke=#c62828 |
| 雄亲本文字 | text | (430,143) | ~70×14 | 框内居中 | "卷刚毛 ♂" |
| P到F₁箭头 | line | (300,162)-(300,190) | - | - | marker-end箭头 |
| F₁框 | rect | (200,190)-(400,235) | 200×45 | - | fill=#e8f5e9, stroke=#2e7d32 |
| F₁文字 | text | (300,218) | ~160×14 | 框内居中 | "F₁：全部直刚毛（♀、♂）" |
| F₁到F₂箭头 | line | (300,235)-(300,270) | - | - | 箭头上标注"随机交配"于(345,252) |
| F₂标题 | text | (300,285) | ~140×16 | 居中 | "F₂ 表现型及比例" |
| F₂直♀框 | rect | (125,310)-(255,370) | 130×60 | - | stroke=#1565c0 |
| F₂直♀文字 | text | (190,332/352/370) | ~60×40 | 框内多行 | 直刚毛/♀/2/4 |
| F₂冒号1 | text | (275,345) | ~10×18 | - | ":" |
| F₂直♂框 | rect | (300,310)-(430,370) | 130×60 | - | stroke=#1565c0 |
| F₂直♂文字 | text | (365,332/352/370) | ~60×40 | 框内多行 | 直刚毛/♂/1/4 |
| F₂冒号2 | text | (450,345) | ~10×18 | - | ":" |
| F₂卷♂框 | rect | (475,310)-(605,370) | 130×60 | - | stroke=#c62828 |
| F₂卷♂文字 | text | (540,332/352/370) | ~60×40 | 框内多行 | 卷刚毛/♂/1/4 |
| 汇总比例 | text | (300,405) | ~140×22 | 居中 | "= 2 : 1 : 1" 蓝色加粗 |

步骤1（假说一：X显性）：
| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移 | 备注 |
| 假说标题 | text | (300,78) | ~220×18 | 居中 | "假说一：X染色体显性突变" |
| 假说副标题 | text | (300,100) | ~220×14 | 居中 | 12px灰色 |
| P雌框 | rect | (125,122)-(225,160) | 100×38 | - | stroke=#333 |
| P雌基因型 | text | (175,142) | ~50×14 | 框内 | "XᵃXᵃ" |
| P雌表现型 | text | (175,168) | ~40×14 | 框下方 | "直♀" |
| P雄框 | rect | (375,122)-(475,160) | 100×38 | - | stroke=#333 |
| P雄基因型 | text | (425,142) | ~50×14 | 框内 | "XᴬY" |
| P雄表现型 | text | (425,168) | ~40×14 | 框下方 | "卷♂" 红色 |
| 雌配子 | text | (175,195) | ~30×14 | - | "Xᵃ" |
| 雄配子1 | text | (405,195) | ~30×14 | - | "Xᴬ" |
| 雄配子2 | text | (445,195) | ~20×14 | - | "Y" |
| F₁雌框 | rect | (125,225)-(225,275) | 100×50 | - | fill=#ffebee, stroke=#c62828 |
| F₁雌基因型 | text | (175,240) | ~50×14 | 框内 | "XᴬXᵃ" |
| F₁雌表现型 | text | (175,258) | ~40×14 | 框内偏下 | "卷♀" 红色 |
| F₁雄框 | rect | (375,225)-(475,275) | 100×50 | - | stroke=#333 |
| F₁雄基因型 | text | (425,240) | ~50×14 | 框内 | "XᵃY" |
| F₁雄表现型 | text | (425,258) | ~40×14 | 框内偏下 | "直♂" |
| 矛盾高亮框 | rect | (120,270)-(230,298) | 110×28 | - | fill=#c62828, opacity=0.1 |
