# Scene 2 Implementation Plan

<SCENE_VISION_STORYBOARD_AND_TECHNICAL_PLAN>

[图示主题与整合说明]
- 本图示主题：三种黑青毛突变体的染色体组成、配子形成及杂交鉴定
- 整合的步骤/概念：
  1) 图2三种突变体染色体组成并排对比（步骤0）
  2) 实验设计展示——待鉴定突变体（aaBbCcc）与纯种棕色猪（aaBBcc）杂交（步骤1）
  3) 突变体甲（C/c/c）减数分裂随机分离 → 配子1:2:2:1 → 子代黑色:黑青色:棕色=1:2:3（步骤2）
  4) 突变体乙（Cc/c）减数分裂分离 → 配子1:1 → 子代黑青色:棕色=1:1（步骤3）
  5) 突变体丙（C/cc）减数分裂分离 → 配子1:1 → 子代黑色:棕色=1:1（步骤4）
  6) 三种突变体杂交结果汇总对比表（步骤5）
- 教学价值：教师可按照"认识染色体组成差异→理解减数分裂行为→推导配子比例→预测杂交结果→汇总对比"的完整认知链条逐步展开讲解。分步导航使教师能控制信息呈现节奏，三种突变体的并列对比帮助学生抓住鉴定依据的核心差异（子代表现型种类及比例）。

[布局坐标表]
画布尺寸：800×500px。分区：标题区y=0~60，主图区y=60~430，控件区y=440~490。

| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移方向 | 备注 |
|------|------|-----------|------|-------------|------|
| 步骤标题 | text | (400, 30) | ~300×20 | 居中 | 每步顶部居中 |
| 步骤副标题 | text | (400, 55) | ~400×16 | 居中 | 步骤0显示 |
| 控件背景条 | rect | (0, 440) | 800×60 | - | 填充#f5f5f5 |
| 上一步按钮 | rect+text | (300, 450) | 90×32 | 文字居中 | 填充#1565c0，文字白色 |
| 下一步按钮 | rect+text | (410, 450) | 90×32 | 文字居中 | 填充#1565c0，文字白色 |
| 步骤指示器 | text | (400, 485) | ~80×14 | 居中 | "步骤 X / 6" |

步骤0——三种突变体染色体组成对比：
| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移方向 | 备注 |
|------|------|-----------|------|-------------|------|
| 方框1（甲） | rect | (50, 100) | 200×240 | - | 细胞轮廓，边框#000000线宽1.5px |
| 方框2（乙） | rect | (300, 100) | 200×240 | - | 同上 |
| 方框3（丙） | rect | (550, 100) | 200×240 | - | 同上 |
| 染色体甲1 | rect(rx=3) | (90, 150) | 10×120 | - | 轮廓#1565c0线宽2.5px，填充#ffffff |
| 染色体甲2 | rect(rx=3) | (120, 150) | 10×120 | - | 同上 |
| 染色体甲3 | rect(rx=3) | (150, 150) | 10×120 | - | 同上 |
| 染色体乙1 | rect(rx=3) | (370, 150) | 10×120 | - | 带C和c连锁 |
| 染色体乙2 | rect(rx=3) | (430, 150) | 10×120 | - | 带c |
| 染色体丙1 | rect(rx=3) | (590, 150) | 10×120 | - | 带C |
| 染色体丙2 | rect(rx=3) | (650, 150) | 10×120 | - | 带c和c连锁 |
| C圆点甲1 | circle | (95, 142) | r=4 | 上方 | 填充#1565c0 |
| c圆点甲2 | circle | (125, 142) | r=4 | 上方 | 填充#888888 |
| c圆点甲3 | circle | (155, 142) | r=4 | 上方 | 填充#888888 |
| C圆点乙1 | circle | (375, 175) | r=4 | 内部偏上 | 填充#1565c0 |
| c圆点乙1内 | circle | (375, 245) | r=4 | 内部偏下 | 填充#888888 |
| c圆点乙2 | circle | (435, 142) | r=4 | 上方 | 填充#888888 |
| C圆点丙1 | circle | (595, 142) | r=4 | 上方 | 填充#1565c0 |
| c圆点丙2a | circle | (655, 175) | r=4 | 内部偏上 | 填充#888888 |
| c圆点丙2b | circle | (655, 245) | r=4 | 内部偏下 | 填充#888888 |
| 标签"突变体甲" | text | (150, 85) | ~80×16 | 方框上方居中 | #000000 |
| 标签"突变体乙" | text | (400, 85) | ~80×16 | 方框上方居中 | #000000 |
| 标签"突变体丙" | text | (650, 85) | ~80×16 | 方框上方居中 | #000000 |
| 说明甲 | text | (150, 365) | ~160×14 | 方框下方居中 | "三条染色体分别携带C、c、c" |
| 说明乙 | text | (400, 365) | ~140×14 | 方框下方居中 | "C与c位于同一条染色体" |
| 说明丙 | text | (650, 365) | ~140×14 | 方框下方居中 | "c与c位于同一条染色体" |

步骤1——实验设计：
| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移方向 | 备注 |
|------|------|-----------|------|-------------|------|
| 左侧亲本框 | rect | (80, 120) | 200×200 | - | 边框#c62828线宽2px，待鉴定突变体 |
| 右侧亲本框 | rect | (520, 120) | 200×200 | - | 边框#2e7d32线宽2px，纯种棕色猪 |
| 左侧基因型 | text | (180, 110) | ~80×16 | 框上方居中 | "aaBbCcc" |
| 右侧基因型 | text | (620, 110) | ~70×16 | 框上方居中 | "aaBBcc" |
| 左侧染色体1 | rect(rx=3) | (130, 160) | 10×120 | - | 标C，轮廓#1565c0 |
| 左侧染色体2 | rect(rx=3) | (160, 160) | 10×120 | - | 标c，轮廓#888888 |
| 左侧染色体3 | rect(rx=3) | (190, 160) | 10×120 | - | 标c，轮廓#888888 |
| 右侧染色体1 | rect(rx=3) | (570, 160) | 10×120 | - | 标c，轮廓#888888 |
| 右侧染色体2 | rect(rx=3) | (600, 160) | 10×120 | - | 标c，轮廓#888888 |
| 杂交符号 | text | (400, 190) | ~20×20 | 居中 | "×" |
| 杂交箭头 | path | (400, 220)→(400, 260) | - | - | #000000线宽2px |
| 杂交文字 | text | (400, 280) | ~80×16 | 箭头下方 | "杂交实验" |
| 实验说明 | text | (400, 330) | ~200×14 | 居中 | "观察子代表现型及比例" |
| 左侧亲本名称 | text | (180, 345) | ~100×14 | 框下方居中 | "待鉴定突变体" |
| 右侧亲本名称 | text | (620, 345) | ~90×14 | 框下方居中 | "纯种棕色猪" |

步骤2——突变体甲详细分析：
| 元素 | 类型 | 位置/范围 | 大小 | 标签偏移方向 | 备注 |
|------|------|-----------|------|-------------|------|
| 左栏细胞框 | rect | (50, 100) | 180×220 | - | 减数分裂示意 |
